# X	Y	Z	rgb
70.9764	36.1733	18.2057	13277071
38.3646	13.6594	8.80268	9934230
44.7206	15.8468	14.0787	14537673
40.931	19.5335	10.2207	16496815
39.2609	14.0847	8.88295	15132901
37.7996	13.6194	8.40545	10461601
46.76	19.5591	10.9705	14011581
33.653	11.0395	7.59511	6447974
40.7423	14.377	10.963	13683145
36.6747	13.0458	8.27684	5329493
41.871	15.3963	9.7049	6446431
50.8259	18.997	14.3568	12418932
49.2843	18.2425	14.0827	14135460
36.3512	14.1842	9.3926	15588564
69.7251	35.7728	15.8888	6312782
47.7624	16.8051	13.9218	5589057
50.5988	21.1509	12.834	15519169
53.2778	19.5633	16.6396	15587533
42.5736	15.0917	10.788	16773869
35.2671	13.7513	8.44999	14143944
86.8049	41.5224	26.3713	15703176
46.7933	20.7234	14.6966	16762034
39.4897	13.4857	10.341	14803422
37.8792	12.8431	9.876	10001047
35.4218	11.386	7.88261	7500662
35.6592	11.9053	9.26969	15263463
43.2099	21.1394	10.1864	14325648
35.5448	11.8478	9.19566	15856113
41.8916	15.478	9.71854	4472128
42.5044	20.3057	10.5726	15781828
36.5069	14.2425	9.44285	15588564
49.527	18.3488	14.1674	12622221
51.5634	21.5725	13.0336	14663860
72.444	36.9873	18.5359	15710129
41.057	14.4842	11.0344	16117999
47.6107	17.0438	13.7426	14866901
37.0097	13.1672	8.37375	5790044
50.8715	19.0136	14.3598	12418932
46.5079	16.4905	14.4179	3746074
46.9844	19.6677	11.0635	13808794
35.9716	14.0505	8.59722	14736081
45.0508	15.9867	14.1942	14142663
86.7536	41.4986	26.3234	15703176
39.3083	14.1404	8.84988	15330280
37.3864	13.2947	8.57576	8618370
48.7614	17.213	14.2157	3681064
69.792	35.8466	15.941	6904919
37.8504	12.8562	9.87662	11316907
51.4221	18.9604	16.0509	12422527
47.1101	20.8409	14.7897	16762034
50.3348	21.0262	12.766	15519169
42.0753	15.4833	9.80301	6051157
45.6658	19.0807	10.7442	14932169
71.5253	36.4475	18.2471	15193034
37.2495	13.24	8.4562	6316388
50.0631	18.6494	14.1329	13350055
70.2617	36.1301	16.0596	6049610
35.5293	13.8676	8.51659	14143944
48.9611	17.2814	14.2819	3681064
47.9959	17.0879	13.8234	16578289
37.4497	12.7071	9.77961	11316907
43.3424	20.7116	10.7638	15781828
35.9844	14.03	9.28636	14930634
35.5451	11.8312	9.17154	16645629
40.3255	14.1603	10.7044	11117731
45.6335	16.1362	14.1497	6508087
39.9237	14.3817	9.01268	15132901
41.1642	14.561	10.9693	9867149
40.3587	14.1702	10.8217	16710136
66.6733	33.9982	15.1925	13814981
41.9959	15.5139	9.85498	4537918
39.7104	14.3642	8.97014	15725041
47.392	19.8432	11.2212	13942696
48.24	17.1449	13.9021	16446703
37.3282	13.2776	8.47269	6316388
42.0177	20.09	10.503	15979207
70.0442	36.1367	16.1444	6179141
50.1246	18.643	14.1894	14863294
49.977	17.6572	14.6167	3681062
37.6634	14.7339	9.66379	15394274
50.2871	21.0071	12.7411	15453376
72.2355	36.8601	18.4784	15710129
50.9002	18.3185	14.7961	5721411
36.6888	14.3739	8.84921	14539735
38.7766	13.1628	10.1214	12172216
39.9459	14.4594	9.06978	15461869
47.6907	16.9398	13.706	16775414
44.0982	21.1074	10.9794	16308172
37.5077	14.6757	9.60273	15131102
50.566	18.8538	14.3077	13152676
50.2062	20.9747	12.705	15453376
41.9533	15.4989	9.81907	4537918
64.8923	33.0491	14.7487	14342610
71.7699	36.5813	18.2942	15193034
36.1443	12.8357	8.20327	4408391
42.0103	14.825	10.621	16777210
47.3965	19.8451	11.2222	13942696
39.2568	13.7189	10.5028	16579323
50.3475	21.0734	12.6806	13746860
66.348	33.7963	15.1366	13814981
44.977	21.5311	11.1645	15721433
72.6142	37.0595	18.4986	14664893
41.1022	15.2116	9.69945	4735297
45.3937	16.5163	11.2511	6905433
70.5999	36.4105	16.3781	6507079
42.6865	15.4628	10.1326	14275793
37.2061	14.5465	9.5607	15394274
48.8811	20.7252	11.4394	14509654
49.532	20.749	11.8046	12692891
50.4456	24.9529	13.1738	16764868
68.7286	34.8939	17.4279	15788773
36.2505	16.9773	9.39599	16758944
47.7656	19.9094	12.0502	14539469
37.1379	14.5212	9.52718	15394274
45.4043	21.7504	11.3025	15979211
25.9265	11.3659	2.8022	10000796
46.3687	26.0469	4.46895	4737610
28.9478	13.3632	3.29107	9077858
45.7876	25.6902	4.33885	8290178
33.3391	13.3763	3.23488	5526874
38.9727	21.5493	4.15973	9342603
30.2828	14.0059	3.37547	14933723
48.0751	27.1532	4.73258	13421259
24.4203	10.8303	2.42068	11053738
37.6829	17.9887	3.96288	15459556
30.0102	13.8881	3.2974	15592941
33.624	13.5511	3.31965	9803419
24.6595	10.9532	2.48247	5000268
25.7447	11.242	2.66737	9935257
26.1794	11.6883	2.6584	6448228
31.0445	9.93837	2.8162	8553090
31.0669	10.2896	2.82907	6579814
33.7014	15.764	3.91293	8221797
40.503	19.3473	4.49483	8223328
32.9573	15.2687	3.81208	5457725
33.6126	13.4145	3.19009	10329761
33.3689	13.4332	3.30031	9803419
47.9565	27.0326	4.71439	12106423
41.2397	23.0448	4.4187	11184810
46.3241	26.0428	4.37861	10790566
24.4546	10.8703	2.4011	10395808
39.1795	21.6667	4.15428	9342603
31.4566	10.9574	2.8606	5592919
37.3584	17.811	3.94963	16314865
30.1972	10.9795	2.792	4079680
32.002	12.0653	2.92484	6843502
25.6235	11.1921	2.66851	9935257
33.8047	13.4804	3.21602	10329761
32.4101	15.0081	3.78724	6510413
25.4257	11.457	2.5816	5658458
40.2688	19.2245	4.45894	8223328
54.5825	28.4834	7.56042	12365847
35.142	18.0778	5.19643	10460454
32.0175	15.1128	1.84901	10789786
25.2011	11.1098	2.72599	13290446
34.5815	16.2847	2.49325	7895671
26.2251	12.0265	3.29343	9342322
33.4433	13.4048	3.33407	11711416
49.3543	27.8976	4.64692	13224390
45.9166	25.7691	4.32798	8882315
24.4675	10.8926	2.43545	13619662
47.4099	26.7061	4.50165	9869464
47.9924	27.1533	4.73826	10789539
32.6716	15.1308	3.81076	5457725
40.4596	22.5894	4.36207	11447982
36.5828	17.4322	3.87798	16314865
39.4624	21.8337	4.22213	9211017
34.0057	15.9949	2.44642	8553601
33.9919	17.4986	5.04852	10460454
25.8389	11.6114	2.63178	3618875
28.3526	13.0233	3.53044	10723473
54.9362	28.6621	7.59018	12365847
38.8543	18.5128	4.37577	8749181
30.7226	14.4535	1.8089	9079683
33.8985	15.9469	2.44961	8553601
25.5841	11.178	2.68499	7237744
